Plot,Species
81,Lespedeza capitata
81,Liatris aspera
81,Petalostemum purpureum
81,Poa pratensis
81,Schizachyrium scoparium
82,Achillea millefolium(lanulosa)
82,Amorpha canescens
82,Andropogon gerardi
82,Asclepias tuberosa
82,Elymus canadensis
82,Lespedeza capitata
82,Liatris aspera
82,Lupinus perennis
82,Monarda fistulosa
82,Panicum virgatum
82,Petalostemum purpureum
82,Poa pratensis
82,Quercus ellipsoidalis
82,Quercus macrocarpa
82,Schizachyrium scoparium
82,Solidago rigida
82,Sorghastrum nutans
83,Lupinus perennis
87,Sorghastrum nutans
89,Achillea millefolium(lanulosa)
89,Agropyron smithii
89,Amorpha canescens
89,Andropogon gerardi
89,Asclepias tuberosa
89,Elymus canadensis
89,Koeleria cristata
89,Liatris aspera
89,Lupinus perennis
89,Panicum virgatum
89,Petalostemum purpureum
89,Poa pratensis
89,Quercus ellipsoidalis
89,Quercus macrocarpa
89,Schizachyrium scoparium
89,Sorghastrum nutans
92,Sorghastrum nutans
93,Agropyron smithii
93,Koeleria cristata
93,Lupinus perennis
93,Petalostemum purpureum
94,Lespedeza capitata
98,Achillea millefolium(lanulosa)
98,Agropyron smithii
98,Andropogon gerardi
98,Koeleria cristata
98,Lupinus perennis
98,Panicum virgatum
98,Poa pratensis
98,Quercus ellipsoidalis
104,Achillea millefolium(lanulosa)
104,Elymus canadensis
104,Koeleria cristata
104,Liatris aspera
104,Lupinus perennis
104,Petalostemum purpureum
104,Quercus ellipsoidalis
104,Schizachyrium scoparium
107,Agropyron smithii
107,Amorpha canescens
107,Andropogon gerardi
107,Asclepias tuberosa
107,Elymus canadensis
107,Koeleria cristata
107,Lespedeza capitata
107,Liatris aspera
107,Lupinus perennis
107,Monarda fistulosa
107,Panicum virgatum
107,Petalostemum purpureum
107,Poa pratensis
107,Quercus ellipsoidalis
107,Quercus macrocarpa
107,Schizachyrium scoparium
107,Solidago rigida
108,Achillea millefolium(lanulosa)
108,Agropyron smithii
108,Amorpha canescens
108,Andropogon gerardi
108,Elymus canadensis
108,Koeleria cristata
108,Liatris aspera
108,Lupinus perennis
108,Monarda fistulosa
108,Panicum virgatum
108,Petalostemum purpureum
108,Poa pratensis
108,Quercus ellipsoidalis
108,Quercus macrocarpa
108,Schizachyrium scoparium
108,Solidago rigida
108,Sorghastrum nutans
109,Andropogon gerardi
110,Elymus canadensis
110,Lespedeza capitata
110,Lupinus perennis
110,Panicum virgatum
111,Achillea millefolium(lanulosa)
111,Agropyron smithii
111,Lespedeza capitata
111,Monarda fistulosa
111,Petalostemum candidum
111,Petalostemum villosum
111,Poa pratensis
111,Quercus ellipsoidalis
111,Quercus macrocarpa
111,Solidago rigida
115,Agropyron smithii
115,Andropogon gerardi
115,Asclepias tuberosa
115,Elymus canadensis
115,Koeleria cristata
115,Monarda fistulosa
115,Poa pratensis
115,Quercus ellipsoidalis
115,Solidago rigida
117,Asclepias tuberosa
117,Lupinus perennis
118,Achillea millefolium(lanulosa)
118,Agropyron smithii
118,Andropogon gerardi
